,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
809,SDRW2200000076.1.1.253.wav,리뷰를,리뷰,19840,26880,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.253.wav,559,684,760,R,cute!,ㅣ,0.622
810,SDRW2200000076.1.1.258.wav,리뷰를,리뷰,2560,10240,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.258.wav,256,445,486,R,cute!,ㅣ,0.822
875,SDRW2200000284.1.1.313.wav,리뷰를,리뷰,2560,8960,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000284.1.1.313.wav,219,319,406,R,cute!,ㅣ,0.535
884,SDRW2200000320.1.1.146.wav,리뷰를,리뷰,17280,32640,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000320.1.1.146.wav,459,1186,1279,R,cute!,ㅣ,0.887
895,SDRW2200000356.1.1.225.wav,리뷰를,리뷰,0,6080,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000356.1.1.225.wav,1,83,155,R,cute!,ㅣ,0.532
896,SDRW2200000356.1.1.246.wav,리뷰를,리뷰,22400,28160,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000356.1.1.246.wav,509,605,674,R,cute!,ㅣ,0.582
967,SDRW2200000632.1.1.97.wav,리뷰를,리뷰,0,5120,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000632.1.1.97.wav,0,26,105,R,cute!,ㅣ,0.248
968,SDRW2200000632.1.1.99.wav,리뷰를,리뷰,8320,14720,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000632.1.1.99.wav,463,639,706,R,cute!,ㅣ,0.724
873,SDRW2200000284.1.1.276.wav,리뷰에서도,리뷰,10880,19200,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000284.1.1.276.wav,480,613,706,R,cute!,ㅣ,0.588
324,SDRW2100000601.1.1.43.wav,리뷰하고,리뷰,28480,39040,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000601.1.1.43.wav,692,796,854,R,cute!,ㅣ,0.642
